Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
ENSG00000000419;O60762,Endoplasmic reticulum,,0.369300008,0.163499996,0.0823,0.409200013,0.246800005,0.0276,0.521300018,0.200499997,0.288899988,0.0067
ENSG00000001036;Q9BTY2,Extracellular,Signal peptide,0.203799993,0.147699997,0.66839999,0.252000004,0.0528,0.0039,0.558700025,0.411900014,0.212099999,0.0122
ENSG00000001084;P48506,Cytoplasm,Peroxisomal targeting signal,0.719099998,0.519299984,0.0119,0.284500003,0.125300005,0.023399999,0.130799994,0.435600013,0.247199997,0.524699986
ENSG00000001630;Q16850,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.1866,0.122000001,0.1391,0.119499996,0.224299997,0.120399997,0.939700007,0.125699997,0.285100013,0.01
ENSG00000002549;P28838,Mitochondrion,Mitochondrial transit peptide,0.206900001,0.102399997,0.058800001,0.096500002,0.905300021,0.0317,0.042599998,0.080600001,0.077699997,0.050000001
ENSG00000002587;O14792,Extracellular|Golgi apparatus,Signal peptide|Transmembrane domain,0.142499998,0.102200001,0.680100024,0.2377,0.138899997,0.0059,0.520200014,0.327100009,0.891700029,0.034200002
ENSG00000002726;P19801,Extracellular,Signal peptide,0.207499996,0.092600003,0.839600027,0.444900006,0.0801,0.006,0.478899986,0.368800014,0.266200006,0.0126
ENSG00000002746;Q76N89,Cytoplasm,Nuclear export signal,0.662500024,0.429899991,0.095899999,0.321399987,0.171200007,0.0029,0.2456,0.428799987,0.264800012,0.0142
ENSG00000003137;Q9NR63,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.201199993,0.154300004,0.122500002,0.155599996,0.407700002,0.016899999,0.888100028,0.171100006,0.257800013,0.039900001
ENSG00000003987;Q9Y216,Cytoplasm,,0.693799973,0.316599995,0.056400001,0.441900015,0.106799997,0.0003,0.390500009,0.407799989,0.219699994,0.0046
ENSG00000003989;P52569,Cell membrane|Lysosome/Vacuole,Transmembrane domain,0.101499997,0.130500004,0.0138,0.770900011,0.128000006,0.0025,0.351799995,0.64139998,0.421200007,0.025
