rxnID	Equation	Reversibility	grRules	Comp	RHEA	MetaNetx	KEGG	BiGG	EC number	MetaCyc	Subsystems	Reactome
MAR20071	epsilon-(gamma-L-Glutamyl)-L-lysine[c] => lysine[c] + 5-oxoproline[c]	1	ENSG00000134864	c	RHEA:16962	MNXR165843	R00490		4.3.2.8	RXN-19023	Alanine, aspartate and glutamate metabolism	
MAR20072	epsilon-(gamma-L-Glutamyl)-L-lysine[n] => lysine[n] + 5-oxoproline[n]	1	ENSG00000134864	n	RHEA:16962	MNXR165843	R00490		4.3.2.8	RXN-19023	Alanine, aspartate and glutamate metabolism	
MAR20073	H2O[r] + N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sphinganine[r] => arachidonate[r] + sphinganine[r]	1	ENSG00000078124	r	RHEA:45376	MNXR168658					Fatty acid metabolism	
MAR20074	H2O[g] + N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sphinganine[g] => arachidonate[g] + sphinganine[g]	1	ENSG00000078124	g	RHEA:45376	MNXR168658					Fatty acid metabolism	
MAR20075	H2O[r] + N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-(4R)-hydroxysphinganine[r] => phytosphingosine[r] + arachidonate[r]	1	ENSG00000078124	r	RHEA:45380	MNXR168659					Fatty acid metabolism	
MAR20076	H2O[g] + N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-(4R)-hydroxysphinganine[g] => phytosphingosine[g] + arachidonate[g]	1	ENSG00000078124	g	RHEA:45380	MNXR168659					Fatty acid metabolism	
MAR20077	H2O[r] + N-(11Z-eicosenoyl)-sphing-4-enine[r] => cis-gondoic acid[r] + sphingosine[r]	1	ENSG00000078124	r	RHEA:45356	MNXR168653					Fatty acid metabolism	
MAR20078	H2O[g] + N-(11Z-eicosenoyl)-sphing-4-enine[g] => cis-gondoic acid[g] + sphingosine[g]	1	ENSG00000078124	g	RHEA:45356	MNXR168653					Fatty acid metabolism	
MAR20079	H2O[r] + N-(11Z-eicosenoyl)-sphinganine[r] => cis-gondoic acid[r] + sphinganine[r]	1	ENSG00000078124	r	RHEA:45360	MNXR168654					Fatty acid metabolism	
MAR20080	H2O[g] + N-(11Z-eicosenoyl)-sphinganine[g] => cis-gondoic acid[g] + sphinganine[g]	1	ENSG00000078124	g	RHEA:45360	MNXR168654					Fatty acid metabolism	
MAR20081	H2O[r] + N-(11Z-eicosenoyl)-(4R)-hydroxysphinganine[r] => cis-gondoic acid[r] + phytosphingosine[r]	1	ENSG00000078124	r	RHEA:45364	MNXR168655					Fatty acid metabolism	
MAR20082	H2O[g] + N-(11Z-eicosenoyl)-(4R)-hydroxysphinganine[g] => cis-gondoic acid[g] + phytosphingosine[g]	1	ENSG00000078124	g	RHEA:45364	MNXR168655					Fatty acid metabolism	
MAR20083	H2O[r] + N-(9Z-octadecenoyl)-sphing-4-enine[r] => oleate[r] + sphingosine[r]	1	ENSG00000078124	r	RHEA:41299	MNXR167977					Fatty acid metabolism	
MAR20084	H2O[g] + N-(9Z-octadecenoyl)-sphing-4-enine[g] => elaidate[g] + sphingosine[g]	1	ENSG00000078124	g	RHEA:41299	MNXR167977					Fatty acid metabolism	
MAR20085	H2O[r] + N-(9Z-octadecenoyl)-sphinganine[r] => oleate[r] + sphinganine[r]	1	ENSG00000078124	r	RHEA:45372	MNXR168657					Fatty acid metabolism	
MAR20086	H2O[g] + N-(9Z-octadecenoyl)-sphinganine[g] => elaidate[g] + sphinganine[g]	1	ENSG00000078124	g	RHEA:45372	MNXR168657					Fatty acid metabolism	
MAR20087	H2O[r] + N-(9Z-octadecenoyl)-(4R)-hydroxysphinganine[r] => phytosphingosine[r] + oleate[r]	1	ENSG00000078124	r	RHEA:45368	MNXR168656					Fatty acid metabolism	
MAR20088	H2O[g] + N-(9Z-octadecenoyl)-(4R)-hydroxysphinganine[g] => phytosphingosine[g] + elaidate[g]	1	ENSG00000078124	g	RHEA:45368	MNXR168656					Fatty acid metabolism	
MAR20089	5-hydroxy-L-tryptophan[c] + H+[c] => CO2[c] + serotonin[c]	0	ENSG00000132437	c	RHEA:18533	MNXR151808	R02701		4.1.1.28	RXN3DJ-170	Tryptophan metabolism	
MAR20090	farnesyl-PP[m] + H2O[m] + heme[m] => Fe(II)-heme o[m] + PPi[m]	0	ENSG00000006695	m	RHEA:28070	MNXR115959	R07411	HEMEOS;HEMEOS_1;HEMEOSm;HEMEOSm_1;R_HEMEOS;R_HEMEOS_1;R_HEMEOSm;R_HEMEOSm_1	2.5.1.-;2.5.1.141	HEMEOSYN-RXN	Porphyrin metabolism	
MAR20091	farnesyl-PP[c] + H2O[c] + heme[c] => Fe(II)-heme o[c] + PPi[c]	0	ENSG00000006695	c	RHEA:28070	MNXR115959	R07411	HEMEOS;HEMEOS_1;HEMEOSm;HEMEOSm_1;R_HEMEOS;R_HEMEOS_1;R_HEMEOSm;R_HEMEOSm_1	2.5.1.-;2.5.1.141	HEMEOSYN-RXN	Porphyrin metabolism	
