# These grRules refinements are collected by Jonathan Robinson and others
# during the curation process. The information is organized into 5 columns
# as below. The third column 'grRulesNew' are intended changes to be applied.
# The forth column 'Reference' contains the evidence source for guiding the
# changes that are further explained by the fifth column 'Notes'.
rxnID	grRulesOrig	grRulesNew	Reference	Notes
HMR_4239	ENSG00000091140 or ENSG00000105953 or ENSG00000110435 or ENSG00000119689 or ENSG00000181192 or ENSG00000197444	ENSG00000091140 and ENSG00000119689 and ENSG00000105953	KEGG (R01933, R08549)	Incorporate the (DLD and DLST and OGDH) complex
HMR_5297	ENSG00000091140 or ENSG00000105953 or ENSG00000110435 or ENSG00000119689 or ENSG00000181192 or ENSG00000197444	ENSG00000091140 and ENSG00000119689 and ENSG00000105953	KEGG (R01933, R08549)	Incorporate the (DLD and DLST and OGDH) complex
HMR_4604	ENSG00000112972 or ENSG00000134240	ENSG00000112972	NCBI (ID: 3157)	HMGCS1 is soluble form, whereas HMGCS2 is mitochondrial
HMR_1437	ENSG00000112972 or ENSG00000134240	ENSG00000112972	NCBI (ID: 3157)	HMGCS1 is soluble form, whereas HMGCS2 is mitochondrial
HMR_1573	ENSG00000112972 or ENSG00000134240	ENSG00000134240	NCBI (ID: 3158)	mitochondrial form (HMGCS2)
HMR_5130	ENSG00000134684 or ENSG00000139131	ENSG00000134684	NCBI (ID: 8565, 51067)	Several tRNA synthetase reactions in the model are associated with both the cytoplasmic and mitochondrial version of the gene, despite the reaction only taking place in the cytoplasm. Therefore, the mitochondrial version of the gene will be removed.
HMR_5131	ENSG00000090861 or ENSG00000124608	ENSG00000090861	NCBI (ID: 16, 57505)	Several tRNA synthetase reactions in the model are associated with both the cytoplasmic and mitochondrial version of the gene, despite the reaction only taking place in the cytoplasm. Therefore, the mitochondrial version of the gene will be removed.
HMR_5132	ENSG00000113643 or ENSG00000146282	ENSG00000113643	NCBI (ID: 5917, 57038)	Several tRNA synthetase reactions in the model are associated with both the cytoplasmic and mitochondrial version of the gene, despite the reaction only taking place in the cytoplasm. Therefore, the mitochondrial version of the gene will be removed.
HMR_5133	ENSG00000134440 or ENSG00000137513	ENSG00000134440	NCBI (ID: 4677, 79731)	Several tRNA synthetase reactions in the model are associated with both the cytoplasmic and mitochondrial version of the gene, despite the reaction only taking place in the cytoplasm. Therefore, the mitochondrial version of the gene will be removed.
HMR_5134	ENSG00000115866 or ENSG00000117593	ENSG00000115866	NCBI (ID: 1615, 55157)	Several tRNA synthetase reactions in the model are associated with both the cytoplasmic and mitochondrial version of the gene, despite the reaction only taking place in the cytoplasm. Therefore, the mitochondrial version of the gene will be removed.
