# Date: 2018-08-21
# Curated Ensembl Gene IDs based extensive pseudogene check
# Some outdated IDs were also remvoed or replaced
ORIGINAL_ENSEMBL	ORIGINAL_ENTREZ	ORIGINAL_NAME	UPDATED_ENSEMBL_IDS	FINAL_ENSEMBL_IDS	NOTES
ENSG00000000419	8813	DPM1	ENSG00000000419	ENSG00000000419	
ENSG00000000938	2268	FGR	ENSG00000000938	ENSG00000000938	
ENSG00000001036	2519	FUCA2	ENSG00000001036	ENSG00000001036	
ENSG00000001084	2729	GCLC	ENSG00000001084	ENSG00000001084	
ENSG00000001626	1080	CFTR	ENSG00000001626	ENSG00000001626	
ENSG00000001630	1595	CYP51A1	ENSG00000001630	ENSG00000001630	
ENSG00000002549	51056	LAP3	ENSG00000002549	ENSG00000002549	
ENSG00000002587	9957	HS3ST1	ENSG00000002587	ENSG00000002587	
ENSG00000002726	26	ABP1	ENSG00000002726	ENSG00000002726	
ENSG00000002746	23072	HECW1	ENSG00000002746	ENSG00000002746	
ENSG00000003137	56603	CYP26B1	ENSG00000003137	ENSG00000003137	
ENSG00000003987	9108	MTMR7	ENSG00000003987	ENSG00000003987	
ENSG00000003989	6542	SLC7A2	ENSG00000003989	ENSG00000003989	
ENSG00000004455	204	AK2	ENSG00000004455	ENSG00000004455	
ENSG00000004468	952	CD38	ENSG00000004468	ENSG00000004468	
ENSG00000004478	2288	FKBP4	ENSG00000004478	ENSG00000004478	
ENSG00000004660	84254	CAMKK1	ENSG00000004660	ENSG00000004660	
ENSG00000004700	5965	RECQL	ENSG00000004700	ENSG00000004700	
ENSG00000004779	4706	NDUFAB1	ENSG00000004779	ENSG00000004779	
ENSG00000004799	5166	PDK4	ENSG00000004799	ENSG00000004799	
ENSG00000004809	85413	SLC22A16	ENSG00000004809	ENSG00000004809	
ENSG00000004864	10165	SLC25A13	ENSG00000004864	ENSG00000004864	
ENSG00000004939	6521	SLC4A1	ENSG00000004939	ENSG00000004939	
ENSG00000004961	3052	HCCS	ENSG00000004961	ENSG00000004961	
ENSG00000005022	292	SLC25A5	ENSG00000005022	ENSG00000005022	
ENSG00000005075	5439	POLR2J	ENSG00000005075	ENSG00000005075	
ENSG00000005187	6296	ACSM3	ENSG00000005187	ENSG00000005187	
ENSG00000005249	5577	PRKAR2B	ENSG00000005249	ENSG00000005249	
ENSG00000005339	1387	CREBBP	ENSG00000005339	ENSG00000005339	
ENSG00000005381	4353	MPO	ENSG00000005381	ENSG00000005381	
ENSG00000005421	5444	PON1	ENSG00000005421	ENSG00000005421	
ENSG00000005469	54677	CROT	ENSG00000005469	ENSG00000005469	
ENSG00000005471	5244	ABCB4	ENSG00000005471	ENSG00000005471	
ENSG00000005483	55904	MLL5	ENSG00000005483	ENSG00000005483	
ENSG00000005810	23077	MYCBP2	ENSG00000005810	ENSG00000005810	
ENSG00000005882	5164	PDK2	ENSG00000005882	ENSG00000005882	
ENSG00000006007	51573	GDE1	ENSG00000006007	ENSG00000006007	
ENSG00000006062	9020	MAP3K14	ENSG00000006062	ENSG00000006062	
ENSG00000006432	4293	MAP3K9	ENSG00000006432	ENSG00000006432	
ENSG00000006530	55750	AGK	ENSG00000006530	ENSG00000006530	
ENSG00000006534	221	ALDH3B1	ENSG00000006534	ENSG00000006534	
ENSG00000006625	79017	GGCT	ENSG00000006625	ENSG00000006625	
ENSG00000006695	1352	COX10	ENSG00000006695	ENSG00000006695	
ENSG00000006756	414	ARSD	ENSG00000006756	ENSG00000006756	
ENSG00000006757	8228	PNPLA4	ENSG00000006757	ENSG00000006757	
ENSG00000006837	51265	CDKL3	ENSG00000006837	ENSG00000006837	
ENSG00000007001	151531	UPP2	ENSG00000007001	ENSG00000007001	
ENSG00000007047	57787	MARK4	ENSG00000007047	ENSG00000007047	
ENSG00000007168	5048	PAFAH1B1	ENSG00000007168	ENSG00000007168	
ENSG00000007171	4843	NOS2	ENSG00000007171	ENSG00000007171	
ENSG00000007216	9058	SLC13A2	ENSG00000007216	ENSG00000007216	
ENSG00000007264	4145	MATK	ENSG00000007264	ENSG00000007264	
ENSG00000007350	8277	TKTL1	ENSG00000007350	ENSG00000007350	
ENSG00000007541	9091	PIGQ	ENSG00000007541	ENSG00000007541	
ENSG00000007933	2328	FMO3	ENSG00000007933	ENSG00000007933	
ENSG00000007944	29116	MYLIP	ENSG00000007944	ENSG00000007944	
ENSG00000008086	6792	CDKL5	ENSG00000008086	ENSG00000008086	
ENSG00000008118	57172	CAMK1G	ENSG00000008118	ENSG00000008118	
ENSG00000008128	728642	CDK11A	ENSG00000008128	ENSG00000008128	
ENSG00000008130	65220	NADK	ENSG00000008130	ENSG00000008130	
ENSG00000008300	1951	CELSR3	ENSG00000008300	ENSG00000008300	
ENSG00000008311	10157	AASS	ENSG00000008311	ENSG00000008311	
ENSG00000008394	4257	MGST1	ENSG00000008394	ENSG00000008394	
ENSG00000008438	8993	PGLYRP1	ENSG00000008438	ENSG00000008438	
ENSG00000008513	6482	ST3GAL1	ENSG00000008513	ENSG00000008513	
ENSG00000009335	9690	UBE3C	ENSG00000009335	ENSG00000009335	
ENSG00000009413	5980	REV3L	ENSG00000009413	ENSG00000009413	
ENSG00000009830	29954	POMT2	ENSG00000009830	ENSG00000009830	
ENSG00000010165	51603	METTL13	ENSG00000010165	ENSG00000010165	
ENSG00000010219	8798	DYRK4	ENSG00000010219	ENSG00000010219	
ENSG00000010256	7384	UQCRC1	ENSG00000010256	ENSG00000010256	
ENSG00000010379	6540	SLC6A13	ENSG00000010379	ENSG00000010379	
ENSG00000010404	3423	IDS	ENSG00000010404	ENSG00000010404	
ENSG00000010671	695	BTK	ENSG00000010671	ENSG00000010671	
ENSG00000010810	2534	FYN	ENSG00000010810	ENSG00000010810	
