Entry	Enzyme regulation
A0A075B6H9	
A0A075B6I0	
A0A075B6I1	
A0A075B6I4	
A0A075B6I9	
A0A075B6J1	
A0A075B6J6	
A0A075B6J9	
A0A075B6K0	
A0A075B6K2	
A0A075B6K4	
A0A075B6K5	
A0A075B6K6	
A0A075B6P5	
A0A075B6Q5	
A0A075B6R2	
A0A075B6S2	
A0A075B6S4	
A0A075B6S5	
A0A075B6S6	
A0A075B6T6	
A0A075B6T7	
A0A075B6T8	
A0A075B6U4	
A0A075B6V5	
A0A075B6W5	
A0A075B6X5	
A0A075B759	
A0A087WSX0	
A0A087WSY4	
A0A087WSY6	
A0A087WSZ0	
A0A087WSZ9	
A0A087WT01	
A0A087WT02	
A0A087WT03	
A0A087WTH1	
A0A087WTH5	
A0A087WUL8	
A0A087WVF3	
A0A087WW87	
A0A087WX78	
A0A087WXM9	
A0A087WXS9	
A0A087X179	
A0A087X1C5	
A0A087X1G2	
A0A096LNP1	
A0A096LP01	
A0A096LP49	
A0A096LP55	
A0A096LPI5	
A0A0A0MRZ7	
A0A0A0MRZ8	
A0A0A0MRZ9	
A0A0A0MS14	
A0A0A0MS15	
A0A0A0MT36	
A0A0A0MT76	
A0A0A0MT89	
A0A0A6YYC5	
A0A0A6YYJ7	
A0A0A6YYK1	
A0A0A6YYK6	
A0A0A6YYK7	
A0A0A6YYL3	
A0A0B4J1U3	
A0A0B4J1U7	
A0A0B4J1V0	
A0A0B4J1V1	
A0A0B4J1V2	
A0A0B4J1V6	
A0A0B4J1X5	
A0A0B4J1X8	
A0A0B4J1Y8	
A0A0B4J1Y9	
A0A0B4J1Z2	
A0A0B4J234	
A0A0B4J235	
A0A0B4J237	
A0A0B4J238	
A0A0B4J240	
A0A0B4J241	
A0A0B4J244	
A0A0B4J245	
A0A0B4J248	
A0A0B4J249	
A0A0B4J262	
A0A0B4J263	
A0A0B4J264	
A0A0B4J265	
A0A0B4J266	
A0A0B4J268	
A0A0B4J271	
A0A0B4J272	
A0A0B4J273	
A0A0B4J274	
A0A0B4J275	
A0A0B4J276	
A0A0B4J277	
A0A0B4J279	
A0A0B4J280	
A0A0B4J2A2	
A0A0B4J2D9	
A0A0B4J2F0	
A0A0B4J2H0	
A0A0C4DH24	
A0A0C4DH25	
A0A0C4DH29	
A0A0C4DH31	
A0A0C4DH32	
A0A0C4DH33	
A0A0C4DH34	
A0A0C4DH38	
A0A0C4DH39	
A0A0C4DH41	
A0A0C4DH42	
A0A0C4DH43	
A0A0C4DH55	
A0A0C4DH59	
A0A0C4DH62	
A0A0C4DH67	
A0A0C4DH68	
A0A0C4DH69	
A0A0C4DH72	
A0A0C4DH73	
A0A0C5B5G6	
A0A0G2JMD5	
A0A0G2JMI3	
A0A0G2JS06	
A0A0J9YVY3	
A0A0J9YWL9	
A0A0J9YX35	
A0A0J9YX94	
A0A0J9YXQ4	
A0A0J9YXX1	
A0A0U1RR37	
A0A0U1RRE5	
A0A183	
A0A1B0GTC6	
A0A1B0GTD5	
A0A1B0GTH6	
A0A1B0GTI8	
A0A1B0GTK4	
A0A1B0GTK5	
A0A1B0GTL2	
A0A1B0GTQ4	
A0A1B0GTR0	
A0A1B0GTR4	
A0A1B0GTS1	
A0A1B0GTU2	
A0A1B0GTY4	
A0A1B0GTZ2	
A0A1B0GU29	
A0A1B0GU33	
A0A1B0GUA5	
A0A1B0GUA6	
A0A1B0GUA7	
A0A1B0GUC4	
A0A1B0GUJ8	
A0A1B0GUQ0	
A0A1B0GUS0	
A0A1B0GUS4	
A0A1B0GUT2	
A0A1B0GUU1	
A0A1B0GUV7	
A0A1B0GUW6	
A0A1B0GUW7	
A0A1B0GUY1	
A0A1B0GV03	
A0A1B0GV22	
A0A1B0GV85	
A0A1B0GV90	
A0A1B0GVG4	
A0A1B0GVG6	
A0A1B0GVH4	
A0A1B0GVH6	
A0A1B0GVH7	
A0A1B0GVK7	
A0A1B0GVM6	
A0A1B0GVN3	
A0A1B0GVQ0	
A0A1B0GVS7	
A0A1B0GVT2	
A0A1B0GVV1	
A0A1B0GVY4	
A0A1B0GVZ2	
A0A1B0GVZ6	
A0A1B0GVZ9	
A0A1B0GW35	
A0A1B0GW64	
A0A1B0GWB2	
A0A1B0GWG4	
A0A1B0GWH4	
A0A1B0GWK0	
A0A1B0GX68	
A0A1W2PPG7	
A0A1W2PR48	
A0A286YF58	
A0A539	
A0A576	
A0A577	
A0A578	
A0A597	
A0A599	
A0A5B9	
A0AUZ9	
A0AV02	
A0AV96	
A0AVF1	
A0AVI2	
A0AVI4	
A0AVK6	
A0AVT1	
A0FGR8	
A0FGR9	
A0JD32	
A0JLT2	
A0JNW5	
A0JP26	
A0M8Q6	
A0MZ66	
A0PG75	
A0PJE2	
A0PJK1	
A0PJW6	
A0PJW8	
A0PJX0	
A0PJX2	
A0PJX4	
A0PJX8	
A0PJY2	
A0PJZ0	
A0PJZ3	
A0PK00	
A0PK05	
A0PK11	
A0ZSE6	
A1A4F0	
A1A4G5	
A1A4S6	
A1A4V9	
A1A4Y4	
A1A519	
A1A580	
A1A5B4	
A1A5C7	
A1A5D9	
A1E959	
A1IGU5	
A1KXE4	
A1KZ92	
A1L020	
A1L0T0	
A1L157	
A1L162	
A1L167	
A1L168	
A1L170	
A1L188	
A1L190	
A1L1A6	
A1L390	
A1L3X0	
A1L3X4	
A1L429	
A1L443	
A1L453	
A1L4H1	
A1L4K1	
A1L4L8	
A1L4Q6	
A1X283	
A1XBS5	
A1YPR0	
A1Z1Q3	ENZYME REGULATION: Subject to product inhibition by ADP-ribose. {ECO:0000269|PubMed:23474712}.
A2A288	
A2A2V5	
A2A2Y4	
A2A2Z9	
A2A368	
A2A3K4	
A2A3L6	
A2A3N6	
A2AJT9	
A2CJ06	
A2IDD5	
A2NJV5	
A2PYH4	
A2RRD8	
A2RRH5	
A2RRL7	
A2RRP1	
A2RTX5	
A2RTY3	
A2RU14	
A2RU30	
A2RU37	
A2RU48	
A2RU49	
A2RU54	
A2RU67	
A2RUB1	
A2RUB6	
A2RUC4	
A2RUG3	
A2RUH7	
A2RUQ5	
A2RUR9	
A2RUS2	
A2RUT3	
A2RUU4	
A2VCK2	
A2VCL2	
A2VDF0	
A2VDJ0	
A2VEC9	
A3KFT3	
A3KMH1	
A3KN83	
A3QJZ6	
A3QJZ7	
A4D0S4	
A4D0T2	
A4D0T7	
A4D0V7	
A4D0Y5	
A4D126	
A4D161	
A4D174	
A4D1B5	
A4D1E1	
A4D1E9	
A4D1F6	
A4D1N5	
A4D1P6	
A4D1S0	
A4D1S5	
A4D1T9	
A4D1U4	
A4D1Z8	
A4D250	
A4D256	
A4D263	
A4D2B0	
A4D2B8	
A4D2G3	
A4D2H0	
A4D2P6	
A4FU01	
A4FU28	
A4FU49	
A4FU69	
A4GXA9	
A4IF30	
A4QMS7	
A4QN01	
A4QPB2	
A4QPH2	
A4UGR9	
A5A3E0	
A5D6W6	
A5D8T8	
A5D8V6	
A5D8V7	
A5D8W1	
A5LHX3	
A5PKW4	
A5PL33	
A5PLK6	
A5PLL1	
A5PLL7	
A5PLN7	
A5PLN9	
A5X5Y0	
A5YKK6	
A5YM69	
A5YM72	
A6BM72	
A6H8M9	
A6H8Y1	
A6H8Z2	
A6NC05	
A6NC42	
A6NC51	
A6NC57	
A6NC62	
A6NC78	
A6NC86	
A6NC97	
A6NC98	
A6NCC3	
A6NCE7	
A6NCF5	
A6NCF6	
A6NCI4	
A6NCI5	
A6NCI8	
A6NCJ1	
A6NCK2	
A6NCL1	
A6NCL2	
A6NCL7	
A6NCM1	
A6NCN2	
A6NCN8	
A6NCQ9	
A6NCS4	
A6NCS6	
A6NCV1	
A6NCW0	
A6NCW3	
A6NCW7	
A6ND01	
A6ND36	
A6ND48	
A6ND91	
A6NDA9	
A6NDB9	
A6NDD5	
A6NDE4	
A6NDE8	
A6NDG6	
A6NDH6	
A6NDI0	
A6NDK9	
A6NDL7	
A6NDL8	
A6NDN3	
A6NDN8	
A6NDP7	
A6NDR6	
A6NDS4	
A6NDU8	
A6NDV4	
A6NDX4	
A6NDX5	
A6NDY0	
A6NDY2	
A6NDZ8	
A6NE01	
A6NE02	
A6NE21	
A6NE52	
A6NE82	
A6NEC2	
A6NED2	
A6NEE1	
A6NEF3	
A6NEH6	
A6NEH8	
A6NEK1	
A6NEL2	
A6NEL3	
A6NEM1	
A6NEN9	
A6NEQ0	
A6NEQ2	
A6NER0	
A6NER3	
A6NES4	
A6NET4	
A6NEV1	
A6NEW6	
A6NEY3	
A6NEY8	
A6NF01	
A6NF34	
A6NF36	
A6NF83	
A6NF89	
A6NFA0	
A6NFA1	ENZYME REGULATION: Inhibited by 1,10-phenanthroline, a metalloprotease inhibitor which is a divalent metal chelator. Also inhibited by EDTA. Not inhibited by Bestatin, an aminopeptidase inhibitor, nor to a mixture of inhibitors for serine, cysteine, and aspartic proteases and aminopeptidases. {ECO:0000269|PubMed:22726442}.
A6NFC5	
A6NFC9	
A6NFD8	
A6NFE2	
A6NFE3	
A6NFF2	
A6NFH5	
A6NFI3	
A6NFK2	
A6NFN3	
A6NFN9	
A6NFQ2	
A6NFQ7	
A6NFR6	
A6NFT4	
A6NFU0	
A6NFU8	
A6NFX1	
A6NFY4	
A6NFY7	
A6NFZ4	
A6NG13	
A6NGA9	
A6NGB0	
A6NGB7	
A6NGB9	
A6NGC4	
A6NGD5	
A6NGE4	
A6NGE7	
A6NGG3	
A6NGG8	
A6NGH7	
A6NGH8	
A6NGJ6	
A6NGK3	
A6NGN4	
A6NGN9	
A6NGQ2	
A6NGR9	
A6NGS2	
A6NGU5	
A6NGU7	
A6NGW2	
A6NGY1	
A6NGY3	
A6NGY5	
A6NGZ8	
A6NH00	
A6NH11	
A6NH13	
A6NH21	
A6NH52	
A6NH57	
A6NHA9	
A6NHC0	
A6NHG4	
A6NHG9	
A6NHJ4	
A6NHL2	
A6NHM9	
A6NHN0	
A6NHN6	
A6NHP3	
A6NHQ2	
A6NHQ4	
A6NHR8	
A6NHR9	
A6NHS1	
A6NHS7	
A6NHT5	
A6NHX0	
A6NHY2	
A6NHY6	
A6NHZ5	
A6NI03	
A6NI15	
A6NI28	
A6NI47	
A6NI56	
A6NI61	
A6NI72	
A6NI73	
A6NI79	
A6NI86	
A6NI87	
A6NIE6	
A6NIE9	
A6NIH7	
A6NIJ5	
A6NIJ9	
A6NIK2	
A6NIL9	
A6NIM6	
A6NIN4	
A6NIR3	
A6NIU2	
A6NIV6	
A6NIX2	
A6NIY4	
A6NIZ1	ENZYME REGULATION: Activated by guanine nucleotide-exchange factor (GEF) EPAC2 in a cAMP-dependent manner. {ECO:0000250}.
A6NJ08	
A6NJ46	
A6NJ64	
A6NJ69	
A6NJ78	
A6NJ88	
A6NJB7	
A6NJG2	
A6NJG6	
A6NJI1	
A6NJI9	
A6NJJ6	
A6NJL1	
A6NJQ4	
A6NJR5	
A6NJT0	
A6NJU9	
A6NJV1	
A6NJW4	
A6NJW9	
A6NJY1	
A6NJY4	
A6NJZ3	
A6NJZ7	
A6NK02	
A6NK06	
A6NK44	
A6NK53	
A6NK58	
A6NK59	
A6NK75	
A6NK89	
A6NK97	
A6NKB5	
A6NKC0	
A6NKC9	
A6NKD2	
A6NKD9	
A6NKF1	
A6NKF2	
A6NKF7	
A6NKG5	
A6NKH3	
A6NKK0	
A6NKL6	
A6NKN8	
A6NKP2	
A6NKQ9	
A6NKT7	
A6NKU9	
A6NKW6	
A6NKX1	
A6NKX4	
A6NL05	
A6NL08	
A6NL26	
A6NL46	
A6NL82	
A6NL88	
A6NL99	
A6NLC5	
A6NLC8	
A6NLE4	
A6NLF2	
A6NLI5	
A6NLJ0	
A6NLP5	
A6NLU0	
A6NLU5	
A6NLW8	
A6NLX3	
A6NLX4	
A6NM03	
A6NM10	
A6NM11	
A6NM28	
A6NM36	
A6NM43	
A6NM45	
A6NM62	
A6NM66	
A6NM76	
A6NMA1	
A6NMB1	
A6NMB9	
A6NMD0	
A6NMD2	
A6NMK7	
A6NMK8	
A6NML5	
A6NMN3	
A6NMS3	
A6NMS7	
A6NMT0	
A6NMU1	
A6NMX2	
A6NMY6	
A6NMZ2	
A6NMZ5	
A6NMZ7	
A6NN06	
A6NN14	
A6NN73	
A6NN90	
A6NN92	
A6NNA2	
A6NNA5	
A6NNB3	
A6NNC1	
A6NND4	
A6NNE9	
A6NNF4	
A6NNH2	
A6NNJ1	
A6NNL0	
A6NNL5	
A6NNM3	
A6NNM8	
A6NNN8	
A6NNP5	
A6NNS2	
A6NNT2	
A6NNV3	
A6NNW6	
A6NNX1	
A6NNY8	
A6NNZ2	
A6NP11	
A6NP61	
A6PVC2	
A6PVI3	
A6PVL3	
A6PVS8	
A6PVY3	
A6QL63	
A6QL64	
A6XGL0	
A6ZKI3	
A7E2F4	
A7E2S9	
A7E2U8	
A7E2V4	
A7E2Y1	
A7KAX9	
A7MBM2	
A7MCY6	
A7MD48	
A7XYQ1	
A8CG34	
A8K010	
A8K0R7	
A8K0S8	
A8K0Z3	
A8K2U0	
A8K4G0	
A8K554	
A8K5M9	
A8K7I4	
A8K830	
A8K855	
A8K8P3	
A8K8V0	
A8K979	
A8MPP1	
A8MPS7	
A8MPX8	
A8MPY1	
A8MQ03	
A8MQ11	
A8MQ14	
A8MQ27	
A8MQB3	
A8MQT2	
A8MRT5	
A8MSI8	
A8MT19	
A8MT33	
A8MT65	
A8MT66	
A8MT69	
A8MT70	
A8MTA8	
A8MTB9	
A8MTI9	
A8MTJ3	
A8MTJ6	
A8MTL0	
A8MTL3	
A8MTL9	
A8MTQ0	
A8MTT3	
A8MTW9	
A8MTY0	
A8MTY7	
A8MTZ0	
A8MTZ7	
A8MU10	
A8MU46	
A8MU76	
A8MU93	
A8MUA0	
A8MUH7	
A8MUI8	
A8MUK1	
A8MUL3	
A8MUM7	
A8MUN3	
A8MUP2	ENZYME REGULATION: Citrate synthase-lysine methyltransferase activity is inhibited by S-adenosylhomocysteine (AdoHcy) and oxaloacetate (OAA) (PubMed:28887308). {ECO:0000269|PubMed:28887308}.
A8MUP6	
A8MUU1	
A8MUU9	
A8MUV8	
A8MUX0	
A8MUZ8	
A8MV23	
A8MV24	
A8MV57	
A8MV65	
A8MV72	
A8MV81	
A8MVA2	
A8MVJ9	
A8MVM7	
A8MVS1	
A8MVS5	
A8MVU1	
A8MVW0	
A8MVW5	
A8MVX0	
A8MVZ5	
A8MW92	
A8MW95	
A8MW99	
A8MWA4	
A8MWA6	
A8MWD9	
A8MWE9	
A8MWK0	
A8MWL6	
A8MWL7	
A8MWP4	
A8MWP6	
A8MWV9	
A8MWX3	
A8MWY0	
A8MX19	
A8MX34	
A8MX76	
A8MX80	
A8MXD5	
A8MXE2	
A8MXJ8	
A8MXK1	
A8MXK9	
A8MXQ7	
A8MXT2	
A8MXU0	
A8MXV4	
A8MXV6	
A8MXY4	
A8MXZ1	
A8MXZ3	
A8MY62	
A8MYA2	
A8MYB1	
A8MYJ7	
A8MYP8	
A8MYU2	
A8MYV0	
A8MYX2	
A8MYZ0	
A8MYZ5	
A8MYZ6	
A8MZ25	
A8MZ26	
A8MZ36	
A8MZ59	
A8MZ97	
A8MZA4	
A8MZF0	
A8MZG2	
A8MZH6	
A8TX70	
A9QM74	
A9UHW6	
A9YTQ3	
A9Z1Z3	
B0FP48	
B0I1T2	
B0YJ81	
B1AH88	
B1AJZ1	
B1AJZ9	
B1AK53	
B1AK76	
B1AKI9	
B1AL46	
B1AL88	
B1AMM8	
B1ANH7	
B1ANS9	
B1ANY3	
B1APH4	
B1ATL7	
B2CW77	
B2RBV5	
B2RC85	
B2RD01	
B2RN74	
B2RNN3	
B2RPK0	
B2RTY4	
B2RU33	
B2RUY7	
B2RUZ4	
B2RV13	
B2RXF0	
B2RXF5	
B2RXH2	
B2RXH4	
B2RXH8	
B3EWF7	
B3EWG3	
B3EWG5	
B3EWG6	
B3GLJ2	
B3KS81	
B3KU38	
B3SHH9	
B4DH59	
B4DJY2	
B4DS77	
B4DU55	
B4DX44	
B4DXR9	
B4DYI2	
B4DZS4	
B4E2M5	
B5MCN3	
B5MCY1	
B5MD39	
B5ME19	
B6A8C7	
B6SEH8	
B6SEH9	
B7U540	
B7Z1M9	
B7Z368	
B7Z6K7	
B7Z8K6	
B7ZAP0	
B7ZAQ6	
B7ZBB8	
B7ZC32	
B7ZW38	
B8ZZ34	
B9A014	
B9A064	
B9A6J9	
B9EJG8	
B9ZVM9	
C4AMC7	
C9J069	
C9J1S8	
C9J202	
C9J2P7	
C9J302	
C9J3I9	
C9J3V5	
C9J442	
C9J6K1	
C9J798	
C9J7I0	
C9JBD0	
C9JC47	
C9JCN9	
C9JDP6	
C9JDV5	
C9JE40	
C9JFL3	
C9JG80	
C9JH25	
C9JI98	
C9JJ37	
C9JJH3	
C9JL84	
C9JLJ4	
C9JLR9	
C9JLW8	
C9JN71	
C9JPN9	
C9JQI7	
C9JQL5	
C9JR72	
C9JRZ8	
C9JSJ3	
C9JTQ0	
C9JUS6	
C9JVI0	
C9JVW0	
C9JXX5	
D3DTV9	
D3W0D1	
D6R901	
D6R9N7	
D6RA61	
D6RBM5	
D6RBQ6	
D6RCP7	
D6REC4	
D6RF30	
D6RGH6	
D6RJB6	
E0CX11	
E2RYF6	
E2RYF7	
E5RG02	
E5RHQ5	
E5RIL1	
E5RJ46	
E5RJM6	
E5RQL4	
E7EML9	
E7ERA6	
E7ETH6	
E7EU14	
E7EW31	
E9PAV3	
E9PB15	
E9PGG2	
E9PI22	
E9PIF3	
E9PJ23	
E9PJI5	
E9PKD4	
E9PQ53	
E9PQR5	
E9PQX1	
E9PRG8	
F2Z333	
F2Z398	
F2Z3F1	
F2Z3M2	
F5GYI3	
F5H284	
F5H4A9	
F5H4B4	
F7VJQ1	
F8VTS6	
F8W1W9	
F8WBI6	
F8WCM5	
F8WFD2	
G3V0H7	
G3V211	
G9CGD6	
H0UI37	
H0Y354	
H0Y7S4	
H0YKK7	
H0YL09	
H0YL14	
H0YM25	
H3BMG3	
H3BN30	
H3BNL1	
H3BNL8	
H3BPM6	
H3BQB6	
H3BQJ8	
H3BQW9	
H3BR10	
H3BRN8	
H3BS89	
H3BSY2	
H3BTG2	
H3BU77	
H3BUK9	
H3BV60	
H7BZ55	
H7C241	
H7C350	
I0J062	
I1YAP6	
I3L0S3	
I3L1E1	
I3L1I5	
I3L273	
I3L3R5	
I6L899	
J3KSC0	
K7EIQ3	
K7EJ46	
K9M1U5	
L0R6Q1	
L0R819	
L0R8F8	
M0QZC1	
M5A8F1	
O00110	
O00115	
O00116	
O00124	
O00139	
O00141	ENZYME REGULATION: Two specific sites, one in the kinase domain (Thr-256) and the other in the C-terminal regulatory region (Ser-422), need to be phosphorylated for its full activation. Phosphorylation at Ser-397 and Ser-401 are also essential for its activity. Activated by WNK1, WNK2, WNK3 and WNK4.
O00142	
O00144	
O00148	
