genes	geneENSTID	geneENSPID	geneUniProtID	geneSymbols	geneEntrezID	geneNames	geneAliases	compartments	compDataSource
"ENSG00000000419"	"ENST00000466152;ENST00000371582;ENST00000683048;ENST00000371588;ENST00000494752;ENST00000682366;ENST00000371584;ENST00000684193;ENST00000683466;ENST00000682713;ENST00000681979;ENST00000684708;ENST00000413082;ENST00000682754;ENST00000683010;ENST00000684628"	"ENSP00000507119;ENSP00000360638;ENSP00000506986;ENSP00000360644;ENSP00000360640;ENSP00000507404;ENSP00000394921"	"O60762"	"DPM1"	"8813"	"dolichyl-phosphate mannosyltransferase subunit 1, catalytic"	"CDGIE;MPDS"	"Endoplasmic reticulum"	"SwissProt"
"ENSG00000001036"	"ENST00000002165;ENST00000451668;ENST00000367585"	"ENSP00000002165;ENSP00000398119"	"Q9BTY2"	"FUCA2"	"2519"	"alpha-L-fucosidase 2"	"dJ20N2.5;MGC1314"	"Extracellular"	"DeepLoc2"
"ENSG00000001084"	"ENST00000509541;ENST00000650454;ENST00000616923;ENST00000515580;ENST00000643939;ENST00000513939;ENST00000510837;ENST00000504353;ENST00000514373;ENST00000504525;ENST00000514004;ENST00000505294;ENST00000514933;ENST00000505197"	"ENSP00000495056;ENSP00000497574;ENSP00000482756;ENSP00000495686;ENSP00000424211;ENSP00000421228;ENSP00000421908;ENSP00000427403"	"P48506"	"GCLC"	"2729"	"glutamate-cysteine ligase catalytic subunit"	"GCS;GLCL;GLCLC"	"Cytosol;Nucleus"	"CellAtlas"
"ENSG00000001630"	"ENST00000003100;ENST00000450723;ENST00000422867;ENST00000482924"	"ENSP00000003100;ENSP00000406757;ENSP00000394268"	"Q16850"	"CYP51A1"	"1595"	"cytochrome P450 family 51 subfamily A member 1"	"CP51;CYP51;CYPL1;LDM;P450-14DM;P450L1"	"Endoplasmic reticulum"	"SwissProt;CellAtlas"
"ENSG00000002549"	"ENST00000226299;ENST00000618908;ENST00000508497;ENST00000512397;ENST00000606142;ENST00000509583;ENST00000507960;ENST00000508014;ENST00000513105;ENST00000504614;ENST00000503467"	"ENSP00000226299;ENSP00000481000;ENSP00000476028;ENSP00000423350;ENSP00000424724"	"P28838"	"LAP3"	"51056"	"leucine aminopeptidase 3"	"LAP;LAPEP;PEPS"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000002587"	"ENST00000002596;ENST00000514690;ENST00000510712"	"ENSP00000002596;ENSP00000425673;ENSP00000422629"	"O14792"	"HS3ST1"	"9957"	"heparan sulfate-glucosamine 3-sulfotransferase 1"	"3OST1"	"Golgi apparatus"	"SwissProt"
"ENSG00000002726"	"ENST00000493429;ENST00000467291;ENST00000460213;ENST00000360937;ENST00000416793;ENST00000483043;ENST00000480582"	"ENSP00000418614;ENSP00000418328;ENSP00000418557;ENSP00000354193;ENSP00000411613;ENSP00000417392"	"P19801"	"AOC1"	"26"	"amine oxidase copper containing 1"	"ABP;ABP1;DAO"	"Extracellular"	"DeepLoc2"
"ENSG00000002746"	"ENST00000395891;ENST00000490954;ENST00000453890;ENST00000492310;ENST00000471527;ENST00000493057;ENST00000464944;ENST00000481031;ENST00000471043;ENST00000461842;ENST00000429529"	"ENSP00000379228;ENSP00000407774;ENSP00000413336"	"Q76N89"	"HECW1"	"23072"	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"	"KIAA0322;NEDL1"	"Cytosol"	"SwissProt;CellAtlas"
"ENSG00000003137"	"ENST00000001146;ENST00000412253;ENST00000474509;ENST00000461519;ENST00000546307"	"ENSP00000001146;ENSP00000401465;ENSP00000430888;ENSP00000430871;ENSP00000443304"	"Q9NR63"	"CYP26B1"	"56603"	"cytochrome P450 family 26 subfamily B member 1"	"P450RAI-2"	"Endoplasmic reticulum;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000003987"	"ENST00000180173;ENST00000521857;ENST00000519590;ENST00000519763;ENST00000517317;ENST00000519122;ENST00000518272;ENST00000523571;ENST00000521177"	"ENSP00000180173;ENSP00000429733;ENSP00000431000"	"Q9Y216"	"MTMR7"	"9108"	"myotubularin related protein 7"	""	"Golgi apparatus;Nucleus;Cytosol"	"SwissProt;CellAtlas"
